"","Year","Quarter","kt"
"1",2007,"Q1",1011.7
"2",2007,"Q2",1090.5
"3",2007,"Q3",1531.7
"4",2007,"Q4",1610.8
"5",2008,"Q1",897.1
"6",2008,"Q2",1668.2
"7",2008,"Q3",2057
"8",2008,"Q4",1667.3
"9",2009,"Q1",1257.4
"10",2009,"Q2",2253.6
"11",2009,"Q3",1952.2
"12",2009,"Q4",1881.1
"13",2010,"Q1",1166.1
"14",2010,"Q2",2215.1
"15",2010,"Q3",2767.4
"16",2010,"Q4",1835.2
"17",2011,"Q1",966.7
"18",2011,"Q2",1768.1
"19",2011,"Q3",2307.1
"20",2011,"Q4",2771.5
"21",2012,"Q1",1170.9
"22",2012,"Q2",1113.4
"23",2012,"Q3",2572.3
"24",2012,"Q4",1869.2
"25",2013,"Q1",771.15
"26",2013,"Q2",1213.02
"27",2013,"Q3",1899.19
"28",2013,"Q4",1674.55
"29",2014,"Q1",2257.2
"30",2014,"Q2",4707
"31",2014,"Q3",891
"32",2014,"Q4",4002.3
"33",2015,"Q1",327.3
"34",2015,"Q2",516.2
"35",2015,"Q3",400.8
