"","Year","Quarter","kt"
"1",2007,"Q1",368.9
"2",2007,"Q2",872.1
"3",2007,"Q3",800.4
"4",2007,"Q4",636.2
"5",2008,"Q1",456.2
"6",2008,"Q2",786.8
"7",2008,"Q3",369.5
"8",2008,"Q4",81
"9",2009,"Q1",95.6
"10",2009,"Q2",528.7
"11",2009,"Q3",565.7
"12",2009,"Q4",200.8
"13",2010,"Q1",384.7
"14",2010,"Q2",600.1
"15",2010,"Q3",651.7
"16",2010,"Q4",480.6
"17",2011,"Q1",538.7
"18",2011,"Q2",832.4
"19",2011,"Q3",721.8
"20",2011,"Q4",448.1
"21",2012,"Q1",325.6
"22",2012,"Q2",1028.3
"23",2012,"Q3",440.8
"24",2012,"Q4",579.1
"25",2013,"Q1",557.41
"26",2013,"Q2",886.83
"27",2013,"Q3",531.47
"28",2013,"Q4",828.08
"29",2014,"Q1",759.8
"30",2014,"Q2",1204.7
"31",2014,"Q3",792.2
"32",2014,"Q4",1632.2
"33",2015,"Q1",71.1
"34",2015,"Q2",181.1
"35",2015,"Q3",113.8
